"mois_no","groupe_no","prov_no","no","ca","code_prov","provenance","code_dep","departement","code_groupe","groupe","code_sgroupe","sous_groupe","mois","mois_numero","annee"
1,10,6,2281,3594.80005,5,"Revetement de sol professionnel",0,"Ménage",11,"Cuisine & Accessoires",11,"Casseroles","Janvier",1,2003
1,60,5,14257,2826.1001,4,"Commandes téléphoniques",3,"Bijouterie - Pendules",18,"Bijouterie HG",18.8,"Pendentifs + Médaillons Zodiac","Janvier",1,2003
1,49,3,11569,4817.6001,2,"Magasin",3,"Bijouterie - Pendules",17,"Bijouterie BG",17.3,"Boucles d'oreilles","Janvier",1,2003
1,32,1,7441,4718,0,"Par correspondance",1,"Tapis - rideaux",13,"Tapis",13.9,"Tapis divers","Janvier",1,2003
1,11,4,2473,7301.3999,3,"Expo",0,"Ménage",11,"Cuisine & Accessoires",11.1,"Vaisselle et verrerie","Janvier",1,2003
1,69,6,16441,8456.59961,5,"Revetement de sol professionnel",6,"Radio -TV",22,"Maroquinerie - parapluies",22.2,"Hi-Fi","Janvier",1,2003
1,87,2,20665,642.099976,1,"Zürich",7,"Montres",24,"Montres",24.8,"Divers + réparartions montres + fournitures","Janvier",1,2003
1,46,1,10801,6675.7002,0,"Par correspondance",2,"Optique - Photos",15,"Optique - Photos",15.9,"Travaux photo","Janvier",1,2003
1,60,4,14233,5808.3999,3,"Expo",3,"Bijouterie - Pendules",18,"Bijouterie HG",18.8,"Pendentifs + Médaillons Zodiac","Janvier",1,2003
1,111,4,26473,5424.7002,3,"Expo",9,"Meubles",29,"Meubles exterieurs",29.2,"Armoires de cuisine","Janvier",1,2003
1,101,7,24145,2508.30005,6,"Studio Radio TV",9,"Meubles",28,"Meubles intérieurs",28.1,"Parois - crédences","Janvier",1,2003
1,114,5,27217,9997.90039,4,"Commandes téléphoniques",9,"Meubles",29,"Meubles exterieurs",29.5,"Rotins","Janvier",1,2003
1,115,4,27433,7707.7998,3,"Expo",9,"Meubles",29,"Meubles exterieurs",29.6,"Petites armoires","Janvier",1,2003
1,96,3,22849,8328.40039,2,"Magasin",8,"Lingerie",26,"Linges & couvertures",26.4,"Couvertures divans piquées smyrne Gobelins","Janvier",1,2003
1,83,4,19753,4091.19995,3,"Expo",7,"Montres",24,"Montres",24,"Montres Casio + Accurist Hommes","Janvier",1,2003
1,55,3,13009,9284.2002,2,"Magasin",3,"Bijouterie - Pendules",18,"Bijouterie HG",18.1,"Alliances chevalière et bagues","Janvier",1,2003
1,46,5,10897,3964.19995,4,"Commandes téléphoniques",2,"Optique - Photos",15,"Optique - Photos",15.9,"Travaux photo","Janvier",1,2003
1,45,7,10705,2104.5,6,"Studio Radio TV",2,"Optique - Photos",15,"Optique - Photos",15.8,"Vidéo","Janvier",1,2003
1,87,9,20833,6831.2998,8,"Boutique",7,"Montres",24,"Montres",24.8,"Divers + réparartions montres + fournitures","Janvier",1,2003
1,36,7,8545,6404.1001,6,"Studio Radio TV",1,"Tapis - rideaux",14,"Vitrage & Décoration",14.3,"Vitrage confectionné","Janvier",1,2003
1,74,4,17593,515.700012,3,"Expo",6,"Radio -TV",22,"Maroquinerie - parapluies",22.8,"Divers","Janvier",1,2003
1,83,1,19681,2435.80005,0,"Par correspondance",7,"Montres",24,"Montres",24,"Montres Casio + Accurist Hommes","Janvier",1,2003
1,101,6,24121,2366.19995,5,"Revetement de sol professionnel",9,"Meubles",28,"Meubles intérieurs",28.1,"Parois - crédences","Janvier",1,2003
1,110,4,26233,16.6000004,3,"Expo",9,"Meubles",29,"Meubles exterieurs",29.1,"Bureaux","Janvier",1,2003
1,77,9,18433,9727.59961,8,"Boutique",5,"Sports - Meubles de jardin",21,"Sports - Meubles de jardin",21.1,"Meubles de camping","Janvier",1,2003
1,33,10,7897,5489.2998,9,"Vente aux employés",1,"Tapis - rideaux",14,"Vitrage & Décoration",14,"Vitrage au metre","Janvier",1,2003
1,105,7,25105,2197.3999,6,"Studio Radio TV",9,"Meubles",28,"Meubles intérieurs",28.5,"Lits","Janvier",1,2003
1,26,9,6193,9855.2998,8,"Boutique",0,"Ménage",12,"Outillage & jouets",12.8,"Divers","Janvier",1,2003
1,10,10,2377,3503.5,9,"Vente aux employés",0,"Ménage",11,"Cuisine & Accessoires",11,"Casseroles","Janvier",1,2003
1,29,6,6841,2261,5,"Revetement de sol professionnel",1,"Tapis - rideaux",13,"Tapis",13.2,"Milieux","Janvier",1,2003
1,5,9,1153,1929.5,8,"Boutique",0,"Ménage",10,"Nettoyage",10.4,"Divers","Janvier",1,2003
1,79,4,18793,3136.19995,3,"Expo",5,"Sports - Meubles de jardin",21,"Sports - Meubles de jardin",21.3,"Accessoires camping","Janvier",1,2003
1,55,10,13177,3424.8999,9,"Vente aux employés",3,"Bijouterie - Pendules",18,"Bijouterie HG",18.1,"Alliances chevalière et bagues","Janvier",1,2003
1,116,4,27673,1527.19995,3,"Expo",9,"Meubles",29,"Meubles exterieurs",29.7,"Autres petits meubles","Janvier",1,2003
1,95,10,22777,4327.6001,9,"Vente aux employés",8,"Lingerie",26,"Linges & couvertures",26.3,"Nappes serviettes et coussins","Janvier",1,2003
1,113,10,27097,3134.3999,9,"Vente aux employés",9,"Meubles",29,"Meubles exterieurs",29.4,"Salles de bains","Janvier",1,2003
1,105,4,25033,1842.5,3,"Expo",9,"Meubles",28,"Meubles intérieurs",28.5,"Lits","Janvier",1,2003
1,83,9,19873,7974.7002,8,"Boutique",7,"Montres",24,"Montres",24,"Montres Casio + Accurist Hommes","Janvier",1,2003
1,1,10,217,3025,9,"Vente aux employés",0,"Ménage",10,"Nettoyage",10,"Machines de cuisine","Janvier",1,2003
1,69,1,16321,8931.5,0,"Par correspondance",6,"Radio -TV",22,"Maroquinerie - parapluies",22.2,"Hi-Fi","Janvier",1,2003
1,60,2,14185,7263.1001,1,"Zürich",3,"Bijouterie - Pendules",18,"Bijouterie HG",18.8,"Pendentifs + Médaillons Zodiac","Janvier",1,2003
1,51,4,12073,1099.59998,3,"Expo",3,"Bijouterie - Pendules",17,"Bijouterie BG",17.7,"Chaînes et colliers","Janvier",1,2003
1,42,10,10057,4581.1001,9,"Vente aux employés",2,"Optique - Photos",15,"Optique - Photos",15.3,"Projection diapositives","Janvier",1,2003
1,42,3,9889,3682.19995,2,"Magasin",2,"Optique - Photos",15,"Optique - Photos",15.3,"Projection diapositives","Janvier",1,2003
1,102,8,24409,2916.3999,7,"Studio Photo",9,"Meubles",28,"Meubles intérieurs",28.2,"Tables de salon","Janvier",1,2003
1,87,5,20737,4514.7002,4,"Commandes téléphoniques",7,"Montres",24,"Montres",24.8,"Divers + réparartions montres + fournitures","Janvier",1,2003
1,75,2,17785,4786.2998,1,"Zürich",6,"Radio -TV",22,"Maroquinerie - parapluies",22.9,"Divers","Janvier",1,2003
1,96,4,22873,8204.7998,3,"Expo",8,"Lingerie",26,"Linges & couvertures",26.4,"Couvertures divans piquées smyrne Gobelins","Janvier",1,2003
1,110,3,26209,221.300003,2,"Magasin",9,"Meubles",29,"Meubles exterieurs",29.1,"Bureaux","Janvier",1,2003
1,30,2,6985,5275.1001,1,"Zürich",1,"Tapis - rideaux",13,"Tapis",13.3,"Passage + divers","Janvier",1,2003
1,58,7,13825,5622.1001,6,"Studio Radio TV",3,"Bijouterie - Pendules",18,"Bijouterie HG",18.5,"Chainettes et colliers","Janvier",1,2003
1,42,2,9865,6699.7002,1,"Zürich",2,"Optique - Photos",15,"Optique - Photos",15.3,"Projection diapositives","Janvier",1,2003
1,19,9,4513,6346.8999,8,"Boutique",0,"Ménage",11,"Cuisine & Accessoires",11.9,"Divers","Janvier",1,2003
1,65,8,15529,7730.8999,7,"Studio Photo",4,"Maroquinerie - parapluies",20,"Maroquinerie - parapluies",20.7,"Divers","Janvier",1,2003
1,55,4,13033,3392.5,3,"Expo",3,"Bijouterie - Pendules",18,"Bijouterie HG",18.1,"Alliances chevalière et bagues","Janvier",1,2003
1,1,9,193,5382.5,8,"Boutique",0,"Ménage",10,"Nettoyage",10,"Machines de cuisine","Janvier",1,2003
1,74,7,17665,2611,6,"Studio Radio TV",6,"Radio -TV",22,"Maroquinerie - parapluies",22.8,"Divers","Janvier",1,2003
1,42,9,10033,2440,8,"Boutique",2,"Optique - Photos",15,"Optique - Photos",15.3,"Projection diapositives","Janvier",1,2003
1,78,1,18481,3876.30005,0,"Par correspondance",5,"Sports - Meubles de jardin",21,"Sports - Meubles de jardin",21.2,"Articles camping textil","Janvier",1,2003
1,14,4,3193,397.100006,3,"Expo",0,"Ménage",11,"Cuisine & Accessoires",11.4,"Stockage, nettoyage, séchage, repassage","Janvier",1,2003
1,60,1,14161,7307.6001,0,"Par correspondance",3,"Bijouterie - Pendules",18,"Bijouterie HG",18.8,"Pendentifs + Médaillons Zodiac","Janvier",1,2003
1,31,4,7273,9625.2998,3,"Expo",1,"Tapis - rideaux",13,"Tapis",13.4,"Revetement de sol","Janvier",1,2003
1,98,7,23425,8700,6,"Studio Radio TV",8,"Lingerie",26,"Linges & couvertures",26.8,"Divers","Janvier",1,2003
1,48,8,11449,7763,7,"Studio Photo",3,"Bijouterie - Pendules",17,"Bijouterie BG",17.1,"Bagues","Janvier",1,2003
1,65,2,15385,5709.2998,1,"Zürich",4,"Maroquinerie - parapluies",20,"Maroquinerie - parapluies",20.7,"Divers","Janvier",1,2003
1,60,7,14305,1467.59998,6,"Studio Radio TV",3,"Bijouterie - Pendules",18,"Bijouterie HG",18.8,"Pendentifs + Médaillons Zodiac","Janvier",1,2003
1,46,3,10849,4062.30005,2,"Magasin",2,"Optique - Photos",15,"Optique - Photos",15.9,"Travaux photo","Janvier",1,2003
1,115,2,27385,3657.69995,1,"Zürich",9,"Meubles",29,"Meubles exterieurs",29.6,"Petites armoires","Janvier",1,2003
1,39,6,9241,7800.3999,5,"Revetement de sol professionnel",2,"Optique - Photos",15,"Optique - Photos",15,"Appareil photo sans relex","Janvier",1,2003
1,7,1,1441,9521.2998,0,"Par correspondance",0,"Ménage",10,"Nettoyage",10.6,"Lavage et séchage","Janvier",1,2003
1,24,1,5521,2927.6001,0,"Par correspondance",0,"Ménage",12,"Outillage & jouets",12.4,"Jouets techniques","Janvier",1,2003
1,110,5,26257,8756,4,"Commandes téléphoniques",9,"Meubles",29,"Meubles exterieurs",29.1,"Bureaux","Janvier",1,2003
1,80,3,19009,9503.5,2,"Magasin",5,"Sports - Meubles de jardin",21,"Sports - Meubles de jardin",21.5,"Vélos","Janvier",1,2003
1,10,1,2161,2056.3999,0,"Par correspondance",0,"Ménage",11,"Cuisine & Accessoires",11,"Casseroles","Janvier",1,2003
1,24,8,5689,7233.2002,7,"Studio Photo",0,"Ménage",12,"Outillage & jouets",12.4,"Jouets techniques","Janvier",1,2003
1,33,6,7801,7071,5,"Revetement de sol professionnel",1,"Tapis - rideaux",14,"Vitrage & Décoration",14,"Vitrage au metre","Janvier",1,2003
1,84,6,20041,6466.2998,5,"Revetement de sol professionnel",7,"Montres",24,"Montres",24.1,"Montres suisses hommes","Janvier",1,2003
1,98,6,23401,9634.2998,5,"Revetement de sol professionnel",8,"Lingerie",26,"Linges & couvertures",26.8,"Divers","Janvier",1,2003
1,62,2,14665,727.599976,1,"Zürich",4,"Maroquinerie - parapluies",20,"Maroquinerie - parapluies",20,"Etuis, coffret portemonnaie portefeuille","Janvier",1,2003
1,115,9,27553,9726.09961,8,"Boutique",9,"Meubles",29,"Meubles exterieurs",29.6,"Petites armoires","Janvier",1,2003
1,37,3,8689,7239.3999,2,"Magasin",1,"Tapis - rideaux",14,"Vitrage & Décoration",14.4,"Travail et montage","Janvier",1,2003
1,1,5,97,2438.5,4,"Commandes téléphoniques",0,"Ménage",10,"Nettoyage",10,"Machines de cuisine","Janvier",1,2003
1,56,1,13201,1573.59998,0,"Par correspondance",3,"Bijouterie - Pendules",18,"Bijouterie HG",18.2,"Boucles d'oreilles","Janvier",1,2003
1,78,7,18625,1492.09998,6,"Studio Radio TV",5,"Sports - Meubles de jardin",21,"Sports - Meubles de jardin",21.2,"Articles camping textil","Janvier",1,2003
1,42,5,9937,857.099976,4,"Commandes téléphoniques",2,"Optique - Photos",15,"Optique - Photos",15.3,"Projection diapositives","Janvier",1,2003
1,69,2,16345,1871.90002,1,"Zürich",6,"Radio -TV",22,"Maroquinerie - parapluies",22.2,"Hi-Fi","Janvier",1,2003
1,1,4,73,7852.1001,3,"Expo",0,"Ménage",10,"Nettoyage",10,"Machines de cuisine","Janvier",1,2003
1,92,4,21913,8663.40039,3,"Expo",8,"Lingerie",25,"Draps & lits",25.3,"Garnitures de lits","Janvier",1,2003
1,15,10,3577,1623.90002,9,"Vente aux employés",0,"Ménage",11,"Cuisine & Accessoires",11.5,"Articles de salle de bain","Janvier",1,2003
1,97,10,23257,2292.8999,9,"Vente aux employés",8,"Lingerie",26,"Linges & couvertures",26.5,"Couvertures de laine","Janvier",1,2003
1,28,10,6697,927.299988,9,"Vente aux employés",1,"Tapis - rideaux",13,"Tapis",13.1,"Tapis de fond","Janvier",1,2003
1,37,1,8641,969.200012,0,"Par correspondance",1,"Tapis - rideaux",14,"Vitrage & Décoration",14.4,"Travail et montage","Janvier",1,2003
1,113,5,26977,2044.90002,4,"Commandes téléphoniques",9,"Meubles",29,"Meubles exterieurs",29.4,"Salles de bains","Janvier",1,2003
1,72,10,17257,5553.5,9,"Vente aux employés",6,"Radio -TV",22,"Maroquinerie - parapluies",22.5,"Telecomunications","Janvier",1,2003
1,80,8,19129,2766.3999,7,"Studio Photo",5,"Sports - Meubles de jardin",21,"Sports - Meubles de jardin",21.5,"Vélos","Janvier",1,2003
1,33,5,7777,8330.5,4,"Commandes téléphoniques",1,"Tapis - rideaux",14,"Vitrage & Décoration",14,"Vitrage au metre","Janvier",1,2003
1,56,10,13417,7456.1001,9,"Vente aux employés",3,"Bijouterie - Pendules",18,"Bijouterie HG",18.2,"Boucles d'oreilles","Janvier",1,2003
1,78,9,18673,5623.7002,8,"Boutique",5,"Sports - Meubles de jardin",21,"Sports - Meubles de jardin",21.2,"Articles camping textil","Janvier",1,2003
1,2,3,289,5575,2,"Magasin",0,"Ménage",10,"Nettoyage",10.1,"Lavage, séchage,…","Janvier",1,2003
1,47,8,11209,1059.09998,7,"Studio Photo",3,"Bijouterie - Pendules",17,"Bijouterie BG",17,"Divers","Janvier",1,2003
1,2,6,361,3393.80005,5,"Revetement de sol professionnel",0,"Ménage",10,"Nettoyage",10.1,"Lavage, séchage,…","Janvier",1,2003
1,57,9,13633,1211.09998,8,"Boutique",3,"Bijouterie - Pendules",18,"Bijouterie HG",18.3,"Divers","Janvier",1,2003
1,21,3,4849,1334.40002,2,"Magasin",0,"Ménage",12,"Outillage & jouets",12.1,"Lustrerie","Janvier",1,2003
1,100,2,23785,8815.09961,1,"Zürich",9,"Meubles",28,"Meubles intérieurs",28,"Meubles rembourrés fauteuilles","Janvier",1,2003
1,71,7,16945,1186.19995,6,"Studio Radio TV",6,"Radio -TV",22,"Maroquinerie - parapluies",22.4,"Ordinateur personnel","Janvier",1,2003
1,1,6,121,739.5,5,"Revetement de sol professionnel",0,"Ménage",10,"Nettoyage",10,"Machines de cuisine","Janvier",1,2003
1,33,9,7873,3657.30005,8,"Boutique",1,"Tapis - rideaux",14,"Vitrage & Décoration",14,"Vitrage au metre","Janvier",1,2003
1,28,7,6625,3544.30005,6,"Studio Radio TV",1,"Tapis - rideaux",13,"Tapis",13.1,"Tapis de fond","Janvier",1,2003
1,60,10,14377,481.399994,9,"Vente aux employés",3,"Bijouterie - Pendules",18,"Bijouterie HG",18.8,"Pendentifs + Médaillons Zodiac","Janvier",1,2003
1,88,7,21025,1335.09998,6,"Studio Radio TV",7,"Montres",24,"Montres",24.9,"Grosse horlogerie (pendules et réveils)","Janvier",1,2003
1,6,9,1393,9266,8,"Boutique",0,"Ménage",10,"Nettoyage",10.5,"Machines de cuisines","Janvier",1,2003
1,42,1,9841,4803.8999,0,"Par correspondance",2,"Optique - Photos",15,"Optique - Photos",15.3,"Projection diapositives","Janvier",1,2003
1,19,7,4465,3865,6,"Studio Radio TV",0,"Ménage",11,"Cuisine & Accessoires",11.9,"Divers","Janvier",1,2003
1,69,3,16369,2018.19995,2,"Magasin",6,"Radio -TV",22,"Maroquinerie - parapluies",22.2,"Hi-Fi","Janvier",1,2003
1,97,3,23089,5696.7002,2,"Magasin",8,"Lingerie",26,"Linges & couvertures",26.5,"Couvertures de laine","Janvier",1,2003
1,112,3,26689,4809.6001,2,"Magasin",9,"Meubles",29,"Meubles exterieurs",29.3,"Autres meubles de cuisines","Janvier",1,2003
1,101,10,24217,8191.7002,9,"Vente aux employés",9,"Meubles",28,"Meubles intérieurs",28.1,"Parois - crédences","Janvier",1,2003
1,15,1,3361,8963.09961,0,"Par correspondance",0,"Ménage",11,"Cuisine & Accessoires",11.5,"Articles de salle de bain","Janvier",1,2003
1,98,3,23329,4423,2,"Magasin",8,"Lingerie",26,"Linges & couvertures",26.8,"Divers","Janvier",1,2003
1,69,5,16417,628,4,"Commandes téléphoniques",6,"Radio -TV",22,"Maroquinerie - parapluies",22.2,"Hi-Fi","Janvier",1,2003
1,15,4,3433,434.200012,3,"Expo",0,"Ménage",11,"Cuisine & Accessoires",11.5,"Articles de salle de bain","Janvier",1,2003
1,69,10,16537,8149.2998,9,"Vente aux employés",6,"Radio -TV",22,"Maroquinerie - parapluies",22.2,"Hi-Fi","Janvier",1,2003
1,83,7,19825,4360,6,"Studio Radio TV",7,"Montres",24,"Montres",24,"Montres Casio + Accurist Hommes","Janvier",1,2003
1,12,9,2833,436.700012,8,"Boutique",0,"Ménage",11,"Cuisine & Accessoires",11.2,"Couvert","Janvier",1,2003
1,38,5,8977,728.5,4,"Commandes téléphoniques",1,"Tapis - rideaux",14,"Vitrage & Décoration",14.5,"Rideaux de douche","Janvier",1,2003
1,116,10,27817,5267.6001,9,"Vente aux employés",9,"Meubles",29,"Meubles exterieurs",29.7,"Autres petits meubles","Janvier",1,2003
1,16,8,3769,3384.69995,7,"Studio Photo",0,"Ménage",11,"Cuisine & Accessoires",11.6,"Articles pour animeaux","Janvier",1,2003
1,47,5,11137,7335.2002,4,"Commandes téléphoniques",3,"Bijouterie - Pendules",17,"Bijouterie BG",17,"Divers","Janvier",1,2003
1,88,1,20881,844.5,0,"Par correspondance",7,"Montres",24,"Montres",24.9,"Grosse horlogerie (pendules et réveils)","Janvier",1,2003
1,30,5,7057,9406.7998,4,"Commandes téléphoniques",1,"Tapis - rideaux",13,"Tapis",13.3,"Passage + divers","Janvier",1,2003
1,83,10,19897,7251.1001,9,"Vente aux employés",7,"Montres",24,"Montres",24,"Montres Casio + Accurist Hommes","Janvier",1,2003
1,42,7,9985,6289.2998,6,"Studio Radio TV",2,"Optique - Photos",15,"Optique - Photos",15.3,"Projection diapositives","Janvier",1,2003
1,101,8,24169,5222.5,7,"Studio Photo",9,"Meubles",28,"Meubles intérieurs",28.1,"Parois - crédences","Janvier",1,2003
1,83,2,19705,6232.5,1,"Zürich",7,"Montres",24,"Montres",24,"Montres Casio + Accurist Hommes","Janvier",1,2003
1,56,6,13321,8731.40039,5,"Revetement de sol professionnel",3,"Bijouterie - Pendules",18,"Bijouterie HG",18.2,"Boucles d'oreilles","Janvier",1,2003
1,19,2,4345,3257,1,"Zürich",0,"Ménage",11,"Cuisine & Accessoires",11.9,"Divers","Janvier",1,2003
1,6,3,1249,7419.8999,2,"Magasin",0,"Ménage",10,"Nettoyage",10.5,"Machines de cuisines","Janvier",1,2003
1,38,6,9001,3277.8999,5,"Revetement de sol professionnel",1,"Tapis - rideaux",14,"Vitrage & Décoration",14.5,"Rideaux de douche","Janvier",1,2003
1,63,10,15097,1277.30005,9,"Vente aux employés",4,"Maroquinerie - parapluies",20,"Maroquinerie - parapluies",20.1,"Serviettes sacs a main cuir artificiel","Janvier",1,2003
1,110,10,26377,4024.30005,9,"Vente aux employés",9,"Meubles",29,"Meubles exterieurs",29.1,"Bureaux","Janvier",1,2003
1,24,10,5737,9230.09961,9,"Vente aux employés",0,"Ménage",12,"Outillage & jouets",12.4,"Jouets techniques","Janvier",1,2003
1,6,8,1369,2867.30005,7,"Studio Photo",0,"Ménage",10,"Nettoyage",10.5,"Machines de cuisines","Janvier",1,2003
1,28,9,6673,2572.19995,8,"Boutique",1,"Tapis - rideaux",13,"Tapis",13.1,"Tapis de fond","Janvier",1,2003
1,77,4,18313,64.6999969,3,"Expo",5,"Sports - Meubles de jardin",21,"Sports - Meubles de jardin",21.1,"Meubles de camping","Janvier",1,2003
1,86,6,20521,7374.7002,5,"Revetement de sol professionnel",7,"Montres",24,"Montres",24.6,"Montres suisses dames","Janvier",1,2003
1,98,4,23353,3897.1001,3,"Expo",8,"Lingerie",26,"Linges & couvertures",26.8,"Divers","Janvier",1,2003
1,6,2,1225,658.299988,1,"Zürich",0,"Ménage",10,"Nettoyage",10.5,"Machines de cuisines","Janvier",1,2003
1,30,1,6961,4559.7002,0,"Par correspondance",1,"Tapis - rideaux",13,"Tapis",13.3,"Passage + divers","Janvier",1,2003
1,7,10,1657,2755.80005,9,"Vente aux employés",0,"Ménage",10,"Nettoyage",10.6,"Lavage et séchage","Janvier",1,2003
1,15,7,3505,2901.5,6,"Studio Radio TV",0,"Ménage",11,"Cuisine & Accessoires",11.5,"Articles de salle de bain","Janvier",1,2003
1,44,2,10345,7290.7002,1,"Zürich",2,"Optique - Photos",15,"Optique - Photos",15.7,"Jumelles et telescope","Janvier",1,2003
1,115,8,27529,1889,7,"Studio Photo",9,"Meubles",29,"Meubles exterieurs",29.6,"Petites armoires","Janvier",1,2003
1,81,5,19297,9590.40039,4,"Commandes téléphoniques",5,"Sports - Meubles de jardin",21,"Sports - Meubles de jardin",21.7,"Fitness","Janvier",1,2003
1,42,8,10009,117.099998,7,"Studio Photo",2,"Optique - Photos",15,"Optique - Photos",15.3,"Projection diapositives","Janvier",1,2003
1,70,7,16705,1083.5,6,"Studio Radio TV",6,"Radio -TV",22,"Maroquinerie - parapluies",22.3,"Vidéo","Janvier",1,2003
1,56,5,13297,5231.7002,4,"Commandes téléphoniques",3,"Bijouterie - Pendules",18,"Bijouterie HG",18.2,"Boucles d'oreilles","Janvier",1,2003
1,97,4,23113,1397.30005,3,"Expo",8,"Lingerie",26,"Linges & couvertures",26.5,"Couvertures de laine","Janvier",1,2003
1,24,5,5617,6702.8999,4,"Commandes téléphoniques",0,"Ménage",12,"Outillage & jouets",12.4,"Jouets techniques","Janvier",1,2003
1,38,10,9097,740.299988,9,"Vente aux employés",1,"Tapis - rideaux",14,"Vitrage & Décoration",14.5,"Rideaux de douche","Janvier",1,2003
1,47,4,11113,1472.69995,3,"Expo",3,"Bijouterie - Pendules",17,"Bijouterie BG",17,"Divers","Janvier",1,2003
1,98,8,23449,6109.2998,7,"Studio Photo",8,"Lingerie",26,"Linges & couvertures",26.8,"Divers","Janvier",1,2003
1,12,7,2785,1067.09998,6,"Studio Radio TV",0,"Ménage",11,"Cuisine & Accessoires",11.2,"Couvert","Janvier",1,2003
1,97,1,23041,4458.1001,0,"Par correspondance",8,"Lingerie",26,"Linges & couvertures",26.5,"Couvertures de laine","Janvier",1,2003
1,15,2,3385,9794.7002,1,"Zürich",0,"Ménage",11,"Cuisine & Accessoires",11.5,"Articles de salle de bain","Janvier",1,2003
1,83,5,19777,3456,4,"Commandes téléphoniques",7,"Montres",24,"Montres",24,"Montres Casio + Accurist Hommes","Janvier",1,2003
1,19,8,4489,2015.69995,7,"Studio Photo",0,"Ménage",11,"Cuisine & Accessoires",11.9,"Divers","Janvier",1,2003
1,106,9,25393,9341.2002,8,"Boutique",9,"Meubles",28,"Meubles intérieurs",28.6,"Armoires","Janvier",1,2003
1,13,9,3073,9584.2002,8,"Boutique",0,"Ménage",11,"Cuisine & Accessoires",11.3,"Articles de cuisine et de cadeaux","Janvier",1,2003
1,47,10,11257,8736.59961,9,"Vente aux employés",3,"Bijouterie - Pendules",17,"Bijouterie BG",17,"Divers","Janvier",1,2003
1,56,2,13225,8271,1,"Zürich",3,"Bijouterie - Pendules",18,"Bijouterie HG",18.2,"Boucles d'oreilles","Janvier",1,2003
1,97,8,23209,1503.80005,7,"Studio Photo",8,"Lingerie",26,"Linges & couvertures",26.5,"Couvertures de laine","Janvier",1,2003
1,10,8,2329,7731,7,"Studio Photo",0,"Ménage",11,"Cuisine & Accessoires",11,"Casseroles","Janvier",1,2003
1,57,2,13465,9507.2998,1,"Zürich",3,"Bijouterie - Pendules",18,"Bijouterie HG",18.3,"Divers","Janvier",1,2003
1,94,7,22465,551.400024,6,"Studio Radio TV",8,"Lingerie",26,"Linges & couvertures",26,"L. de toilette - lavettes - draps de bain","Janvier",1,2003
1,18,10,4297,2776.80005,9,"Vente aux employés",0,"Ménage",11,"Cuisine & Accessoires",11.8,"Divers","Janvier",1,2003
1,83,6,19801,5656.6001,5,"Revetement de sol professionnel",7,"Montres",24,"Montres",24,"Montres Casio + Accurist Hommes","Janvier",1,2003
1,20,7,4705,5098.7002,6,"Studio Radio TV",0,"Ménage",12,"Outillage & jouets",12,"Outillage, jardin accessoire auto","Janvier",1,2003
1,85,5,20257,4784.8999,4,"Commandes téléphoniques",7,"Montres",24,"Montres",24.2,"Montres hommes divers","Janvier",1,2003
1,112,2,26665,4268,1,"Zürich",9,"Meubles",29,"Meubles exterieurs",29.3,"Autres meubles de cuisines","Janvier",1,2003
1,42,6,9961,1039.5,5,"Revetement de sol professionnel",2,"Optique - Photos",15,"Optique - Photos",15.3,"Projection diapositives","Janvier",1,2003
